BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING
Mohammed Shami,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,29,2,7.25,13,2,2,0,1,Mohammed Shami
Hardik Pandya,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,3,0,28,0,9.33,6,2,2,0,0,Hardik Pandya
Josh Little,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,41,1,10.25,10,4,3,0,0,Josh Little
Rashid Khan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,26,2,6.5,10,2,1,0,0,Rashid Khan
Alzarri Joseph,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,33,2,8.25,8,0,3,0,0,Alzarri Joseph
Yash Dayal,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,1,0,14,0,14,2,0,2,0,0,Yash Dayal
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,29,0,7.25,9,1,2,0,0,Deepak Chahar
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,3.2,0,51,1,15.3,5,4,4,1,1,Tushar Deshpande
Rajvardhan Hangargekar,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,36,3,9,10,4,1,3,1,Rajvardhan Hangargekar
Mitchell Santner,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,32,0,8,7,5,0,0,0,Mitchell Santner
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,28,1,7,9,1,1,0,0,Ravindra Jadeja
Umesh Yadav,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,27,1,6.75,11,2,1,0,0,Umesh Yadav
Tim Southee,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,54,2,13.5,7,6,3,0,0,Tim Southee
Sunil Narine,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,40,1,10,8,3,2,1,0,Sunil Narine
Varun Chakravarthy,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,26,1,6.5,10,2,1,1,0,Varun Chakravarthy
Shardul Thakur,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,43,0,10.75,7,4,2,0,1,Shardul Thakur
Sam Curran,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,38,1,12.66,4,3,3,0,0,Sam Curran
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,19,3,6.33,10,2,1,0,0,Arshdeep Singh
Nathan Ellis,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,27,1,9,8,2,1,0,2,Nathan Ellis
Sikandar Raza,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,25,1,8.33,5,3,0,1,0,Sikandar Raza
Rishi Dhawan,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,1,0,15,0,15,2,2,1,0,0,Rishi Dhawan
Rahul Chahar,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,2,0,12,1,6,5,0,1,0,0,Rahul Chahar
Harpreet Brar,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,1,0,7,0,7,3,1,0,0,0,Harpreet Brar
Khaleel Ahmed,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,30,2,7.5,15,3,2,1,0,Khaleel Ahmed
Mukesh Kumar,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,34,0,8.5,5,0,2,1,0,Mukesh Kumar
Chetan Sakariya,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,53,2,13.25,8,1,6,3,0,Chetan Sakariya
Axar Patel,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,38,1,9.5,8,1,3,0,0,Axar Patel
Kuldeep Yadav,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,35,1,8.75,7,0,3,0,0,Kuldeep Yadav
Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,1,0,7,0,7,3,1,0,1,0,Kyle Mayers
Jaydev Unadkat,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,3,0,39,0,13,3,5,0,2,0,Jaydev Unadkat
Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,23,0,5.75,9,2,0,1,0,Krishnappa Gowtham
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,29,2,7.25,12,3,1,0,0,Avesh Khan
Mark Wood,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,14,5,3.5,17,1,0,1,1,Mark Wood
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,31,2,7.75,8,3,1,0,0,Ravi Bishnoi
Bhuvneshwar Kumar,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,36,0,12,6,4,2,1,0,Bhuvneshwar Kumar
Fazalhaq Farooqi,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,41,2,10.25,11,7,0,0,0,Fazalhaq Farooqi
Washington Sundar,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,32,0,10.66,5,1,3,0,0,Washington Sundar
T Natarajan,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,23,2,7.66,7,4,0,0,0,T Natarajan
Adil Rashid,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,33,0,8.25,6,1,2,0,0,Adil Rashid
Umran Malik,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,32,1,10.66,4,4,1,1,0,Umran Malik
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,1,21,2,5.25,15,2,1,0,0,Trent Boult
KM Asif,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,15,0,5,9,1,0,1,0,KM Asif
Jason Holder,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,16,1,5.33,10,1,1,0,0,Jason Holder
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,27,1,6.75,10,1,1,2,0,Ravichandran Ashwin
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,17,4,4.25,11,0,0,0,0,Yuzvendra Chahal
Navdeep Saini,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,2,0,34,0,17,3,3,2,0,3,Navdeep Saini
Mohammed Siraj,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,21,1,5.25,16,2,0,6,0,Mohammed Siraj
Reece Topley,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,14,1,7,7,3,0,0,0,Reece Topley
Akash Deep,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,3,0,29,1,9.66,7,2,2,0,0,Akash Deep
Harshal Patel,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,43,1,10.75,6,3,2,1,1,Harshal Patel
Karn Sharma,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,32,2,8,7,1,2,1,0,Karn Sharma
Michael Bracewell,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,16,1,8,6,3,0,0,0,Michael Bracewell
Glenn Maxwell,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,1,0,16,0,16,0,1,1,1,0,Glenn Maxwell
Jason Behrendorff, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,3,0,37,0,12.33,6,3,3,0,0,Jason Behrendorff
Arshad Khan, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,2.2,0,28,1,12,7,2,2,4,0,Arshad Khan
Jofra Archer, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,33,0,8.25,10,2,2,0,0,Jofra Archer
Piyush Chawla, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,26,0,6.5,11,2,1,0,0,Piyush Chawla
Cameron Green, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,30,1,15,4,2,3,0,0,Cameron Green
Hrithik Shokeen, Mumbai Indians, Mumbai Indians vs Royal Challengers Bangalore,5,1,0,17,0,17,0,0,2,0,0,Hrithik Shokeen
Kyle Mayers,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,2,0,16,0,8,1,1,0,1,0,Krunal Pandya
Avesh Khan,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,3,0,39,1,13,4,6,0,1,0,Yash Thakur
Krunal Pandya,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,2,0,21,0,10.5,4,1,2,0,0,Ben Stokes
Krishnappa Gowtham,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,1,0,20,0,20,2,0,3,0,0,Moeen Ali
Mark Wood,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,4,0,49,3,12.25,9,3,5,0,0,Anrich Nortje
Yash Thakur,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,4,0,36,0,9,4,3,1,0,1,Mitchell Marsh
Ravi Bishnoi,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants,6,4,0,28,3,7,13,1,2,1,0,David Willey
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,55,0,13.75,6,7,1,5,0,Shahbaz Ahmed
Ben Stokes,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,1,0,18,0,18,0,2,1,0,0,Suyash Sharma
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,45,2,11.25,7,2,2,4,3,Deepak Hooda
Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,26,4,6.5,10,0,1,1,0,Amit Mishra
Mitchell Santner,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,21,1,5.25,9,0,1,0,0,Aiden Markram
Rajvardhan Hangargekar,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,2,0,24,0,12,4,2,1,3,0,Rovman Powell
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,1,0,14,0,14,2,0,2,0,0,Sandeep Sharma
Mohammed Shami,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,41,3,10.25,15,5,1,4,0,Murugan Ashwin
Josh Little,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,27,0,6.75,11,2,1,0,0,Sisanda Magala
Hardik Pandya,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,3,0,18,0,6,6,2,0,0,0,Dwaine Pretorius
Alzarri Joseph,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,29,2,7.25,13,3,1,1,0,Kumar Kartikeya
Yash Dayal,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,1,0,12,0,12,0,0,1,0,0,Lockie Ferguson
Rashid Khan,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,31,3,7.75,9,2,2,0,0,Marco Jansen
Khaleel Ahmed,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,4,0,38,1,9.5,9,5,1,1,0,Mayank Markande
Mukesh Kumar,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,4,0,42,0,10.5,8,5,2,1,0,Mohit Rathee
Anrich Nortje,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,4,0,39,2,9.75,9,3,2,0,2,Wayne Parnell
Mitchell Marsh,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,3.1,0,24,1,7.57,4,1,0,1,0,Riley Meredith
Kuldeep Yadav,Delhi Capitals,Delhi Capitals vs Gujarat Titans,7,3,0,18,0,6,5,1,0,1,0,Tilak Varma
Trent Boult,,,,4,0,38,0,9.5,8,3,2,1,0,Mustafizur Rahman
KM Asif,,,,4,0,54,0,13.5,7,5,3,3,1,Lalit Yadav
Ravichandran Ashwin,,,,4,0,25,1,6.25,7,2,0,1,0,Akash Singh
Jason Holder,,,,4,0,29,2,7.25,7,2,1,0,0,Maheesh Theekshana
Yuzvendra Chahal,,,,4,0,50,1,12.5,5,7,1,1,0,Kuldeep Sen
Sam Curran,,,,4,0,44,0,11,7,3,3,0,0,Adam Zampa
Arshdeep Singh,,,,4,0,47,2,11.75,10,4,3,3,0,Mohit Sharma
Harpreet Brar,,,,2,0,15,0,7.5,5,2,0,0,0,Kagiso Rabada
Nathan Ellis,,,,4,0,30,4,7.5,11,2,2,0,0,Matthew Short
Rahul Chahar,,,,4,0,31,0,7.75,5,1,1,0,0,Andre Russell
Sikandar Raza,,,,2,0,24,0,12,2,1,1,2,0,Vijaykumar Vyshak
Mohammed Siraj,,,,4,0,44,1,11,13,6,1,3,1,Wanindu Hasaranga
David Willey,,,,4,1,16,2,4,15,2,0,1,0,Yudhvir Singh
Akash Deep,,,,2,0,30,0,15,4,2,2,1,2,Arjun Tendulkar
Michael Bracewell,,,,3,0,34,1,11.33,3,1,3,0,0,Duan Jansen
Shahbaz Ahmed,,,,1,0,6,0,6,3,1,0,0,0,Noor Ahmad
Karn Sharma,,,,3,0,26,2,8.66,6,2,1,0,0,Matheesha Pathirana
Harshal Patel,,,,3,0,38,1,12.66,5,4,2,1,0,Naveen-ul-Haq
Umesh Yadav,,,,2,0,17,0,8.5,5,3,0,0,0,Marcus Stoinis
Tim Southee,,,,2,0,25,0,12.5,5,2,2,0,0,Liam Livingstone
Sunil Narine,,,,4,0,16,2,4,12,1,0,0,0,Ishant Sharma
Varun Chakravarthy,,,,3.4,0,15,4,4.09,13,2,0,0,0,Kulwant Khejroliya
Suyash Sharma,,,,4,0,30,3,7.5,11,2,2,1,0,Anukul Roy
Shardul Thakur,,,,2,0,15,1,7.5,4,2,0,0,0,Nitish Rana
Kyle Mayers,,,,1,0,5,0,5,1,0,0,0,0,Mayank Dagar
Jaydev Unadkat,,,,3,0,26,0,8.66,9,0,3,1,0,Jayant Yadav
Krunal Pandya,,,,4,0,18,3,4.5,15,3,0,0,0,Rahul Tewatia
Yash Thakur,,,,3,0,23,1,7.66,6,3,0,0,0,David Wiese
Ravi Bishnoi,,,,4,0,16,1,4,10,0,0,1,0,Vaibhav Arora
Deepak Hooda,,,,1,0,8,0,8,1,1,0,0,0,Kuldip Yadav
Amit Mishra,,,,4,0,23,2,5.75,10,3,0,0,0,Gurnoor Brar
Bhuvneshwar Kumar,,,,2,0,19,1,9.5,7,1,1,1,0,Ayush Badoni
Washington Sundar,,,,1,0,11,0,11,1,2,0,0,0,Harshit Rana
Fazalhaq Farooqi,,,,3,0,13,1,4.33,12,2,0,1,0,Akeal Hosein
Aiden Markram,,,,2,0,14,0,7,5,2,0,0,0,Abhishek Sharma
Adil Rashid,,,,3,0,23,2,7.66,8,2,1,0,0,Josh Hazlewood
T Natarajan,,,,3,0,23,0,7.66,7,1,1,1,0,Mahipal Lomror
Umran Malik,,,,2,0,22,1,11,7,3,0,2,0,"Chennai Super Kings Team: Ambati Rayudu, Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni (c)†, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Deepak Chahar"
Khaleel Ahmed,,,,2,0,31,0,15.5,3,6,0,2,0,0
Anrich Nortje,,,,4,0,44,0,11,10,6,2,0,0,Akash Madhwal
Mukesh Kumar,,,,4,0,36,2,9,8,3,2,0,0,Kartik Tyagi
Axar Patel,,,,4,0,38,0,9.5,6,5,1,0,0,Raghav Goyal
Kuldeep Yadav,,,,4,0,31,1,7.75,8,2,1,0,0,Tristan Stubbs
Rovman Powell,,,,2,0,18,1,9,4,1,1,1,1,Mohsin Khan
Trent Boult,,,,4,1,29,3,7.25,11,5,0,0,0,Swapnil Singh
Sandeep Sharma,,,,4,0,20,1,5,11,2,0,1,0,Vivrant Sharma
Ravichandran Ashwin,,,,4,0,25,2,6.25,10,2,0,3,0,Obed McCoy
Jason Holder,,,,3,0,28,0,9.33,4,4,0,1,0,Chris Jordan
Yuzvendra Chahal,,,,4,0,27,3,6.75,8,2,0,2,0,Joe Root
Murugan Ashwin,,,,1,0,11,0,11,0,0,0,0,1,Glenn Phillips
Deepak Chahar,,,,1,0,10,0,10,2,2,0,0,0,Praveen Dubey
Tushar Deshpande,,,,3,0,31,2,10.33,9,2,3,1,0,Nitish Kumar Reddy
Sisanda Magala,,,,4,0,37,1,9.25,4,5,0,0,0,Himanshu Sharma
Mitchell Santner,,,,4,0,28,2,7,6,3,0,0,0,
Ravindra Jadeja,,,,4,0,20,3,5,9,0,1,0,0,
Dwaine Pretorius,,,,4,0,28,0,7,9,3,0,4,0,
Jason Behrendorff,,,,3,0,24,1,8,9,2,1,1,0,
Arshad Khan,,,,2.1,0,35,0,16.15,2,5,1,3,0,
Cameron Green,,,,3,0,20,0,6.66,6,0,1,1,0,
Piyush Chawla,,,,4,0,33,1,8.25,8,5,0,0,0,
Kumar Kartikeya,,,,4,0,24,1,6,6,0,1,0,0,
Hrithik Shokeen,,,,2,0,19,0,9.5,4,2,1,0,0,
Umesh Yadav,,,,3,0,24,0,8,7,4,0,1,0,
Shardul Thakur,,,,3,0,40,0,13.33,4,3,3,1,0,
Lockie Ferguson,,,,4,0,40,0,10,8,3,2,1,1,
Sunil Narine,,,,4,0,33,3,8.25,8,3,1,1,0,
Varun Chakravarthy,,,,2,0,27,0,13.5,1,2,1,1,0,
Suyash Sharma,,,,4,0,35,1,8.75,6,3,0,1,0,
Mohammed Shami,,,,4,0,28,1,7,10,2,1,0,0,
Josh Little,,,,4,0,45,1,11.25,9,4,3,3,0,
Alzarri Joseph,,,,4,0,27,2,6.75,14,2,2,0,0,
Yash Dayal,,,,4,0,69,0,17.25,4,3,8,0,0,
Rashid Khan,,,,4,0,37,3,9.25,6,4,1,0,0,
Bhuvneshwar Kumar,,,,4,0,33,1,8.25,13,6,0,3,0,
Marco Jansen,,,,3,1,16,2,5.33,14,2,1,1,0,
T Natarajan,,,,4,0,40,0,10,10,3,3,0,0,
Washington Sundar,,,,1,0,6,0,6,3,1,0,0,0,
Mayank Markande,,,,4,0,15,4,3.75,15,2,0,0,0,
Umran Malik,,,,4,0,32,2,8,14,3,2,1,0,
Sam Curran,,,,3,0,14,0,4.66,8,1,0,0,0,
Arshdeep Singh,,,,3,0,20,1,6.66,10,4,0,0,0,
Harpreet Brar,,,,3.1,0,26,0,8.21,8,5,0,0,0,
Nathan Ellis,,,,3,0,28,0,9.33,5,5,0,0,0,
Rahul Chahar,,,,3,0,28,1,9.33,8,4,1,0,0,
Mohit Rathee,,,,2,0,29,0,14.5,3,3,2,0,0,
Jaydev Unadkat,,,,2,0,27,0,13.5,3,2,2,1,0,
Avesh Khan,,,,4,0,53,0,13.25,8,5,4,0,0,
Krunal Pandya,,,,4,0,35,0,8.75,5,2,2,0,0,
Mark Wood,,,,4,1,32,1,8,12,1,3,2,0,
Ravi Bishnoi,,,,4,0,39,0,9.75,5,1,3,1,0,
Amit Mishra,,,,2,0,18,1,9,2,1,1,0,0,
Mohammed Siraj,,,,4,0,22,3,5.5,16,3,0,4,0,
David Willey,,,,4,0,32,0,8,6,2,1,1,0,
Wayne Parnell,,,,4,0,41,3,10.25,6,5,1,3,0,
Harshal Patel,,,,4,0,48,2,12,5,4,3,0,0,
Karn Sharma,,,,3,0,48,1,16,5,3,5,1,0,
Shahbaz Ahmed,,,,1,0,15,0,15,1,0,2,0,0,
Jason Behrendorff,,,,3,0,23,3,7.66,8,1,2,0,0,
Arshad Khan,,,,1,0,12,0,12,1,2,0,1,0,
Cameron Green,,,,3,0,30,0,10,4,5,0,1,0,
Hrithik Shokeen,,,,4,0,43,1,10.75,10,4,2,1,1,
Riley Meredith,,,,3.4,0,34,2,9.27,10,5,1,0,1,
Piyush Chawla,,,,4,0,22,3,5.5,9,2,0,0,0,
Tilak Varma,,,,1,0,7,0,7,3,1,0,1,0,
Mukesh Kumar,,,,2,0,30,2,15,6,3,3,0,0,
Mustafizur Rahman,,,,4,0,38,1,9.5,11,5,2,0,0,
