BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING
Anrich Nortje,,,,4,0,35,0,8.75,8,2,2,0,0,
Lalit Yadav,,,,4,0,23,0,5.75,10,1,1,1,0,
Axar Patel,,,,4,0,20,0,5,12,2,0,1,0,
Kuldeep Yadav,,,,2,0,23,0,11.5,2,1,2,0,0,
Akash Singh,,,,4,0,40,2,10,7,2,3,1,0,
Tushar Deshpande,,,,4,0,37,2,9.25,7,4,1,1,0,
Maheesh Theekshana,,,,4,0,42,0,10.5,4,5,1,0,0,
Ravindra Jadeja,,,,4,0,21,2,5.25,11,0,0,3,0,
Moeen Ali,,,,2,0,21,1,10.5,3,0,2,0,0,
Sisanda Magala,,,,2,0,14,0,7,2,0,0,1,0,
Sandeep Sharma,,,,3,0,30,1,10,6,1,2,2,0,
Kuldeep Sen,,,,2,0,8,0,4,4,0,0,0,0,
Jason Holder,,,,3,0,37,0,12.33,4,4,2,1,0,
Adam Zampa,,,,4,0,43,1,10.75,5,4,1,1,0,
Ravichandran Ashwin,,,,4,0,25,2,6.25,10,1,1,2,0,
Yuzvendra Chahal,,,,4,0,27,2,6.75,8,2,0,1,0,
Mohammed Shami,,,,4,0,44,1,11,9,7,1,1,0,
Josh Little,,,,4,0,31,1,7.75,11,3,1,3,0,
Alzarri Joseph,,,,4,0,32,1,8,11,1,2,5,0,
Rashid Khan,,,,4,0,26,1,6.5,13,3,1,0,0,
Mohit Sharma,,,,4,0,18,2,4.5,12,2,0,0,0,
Arshdeep Singh,,,,4,0,33,1,8.25,8,5,0,0,0,
Kagiso Rabada,,,,4,0,36,1,9,11,5,1,0,0,
Harpreet Brar,,,,4,0,20,1,5,8,1,0,0,0,
Sam Curran,,,,3.5,0,25,1,6.52,7,2,0,0,0,
Rahul Chahar,,,,3,0,24,0,8,4,3,0,0,0,
Matthew Short,,,,1,0,8,0,8,1,1,0,0,0,
Umesh Yadav,,,,3,0,42,0,14,3,3,3,1,0,
Lockie Ferguson,,,,2,0,37,0,18.5,4,5,1,1,1,
Sunil Narine,,,,4,0,28,0,7,7,1,1,2,0,
Andre Russell,,,,2.1,0,22,3,10.15,4,2,1,2,0,
Varun Chakravarthy,,,,4,0,41,1,10.25,4,3,2,1,0,
Suyash Sharma,,,,4,0,44,0,11,8,4,3,0,0,
Shardul Thakur,,,,0.5,0,14,0,16.8,0,3,0,0,0,
Bhuvneshwar Kumar,,,,4,1,29,1,7.25,10,4,0,1,0,
Marco Jansen,,,,4,0,37,2,9.25,12,1,3,4,2,
T Natarajan,,,,4,0,54,1,13.5,6,6,3,1,0,
Umran Malik,,,,2,0,36,1,18,3,4,3,0,0,
Mayank Markande,,,,4,0,27,2,6.75,10,2,1,0,0,
Washington Sundar,,,,2,0,20,0,10,2,1,1,0,0,
Anrich Nortje,,,,4,0,31,0,7.75,9,3,0,2,1,
Axar Patel,,,,3,0,25,1,8.33,9,0,3,0,0,
Mustafizur Rahman,,,,3,0,41,0,13.66,2,5,2,0,0,
Mitchell Marsh,,,,2,0,18,2,9,5,2,1,0,0,
Lalit Yadav,,,,4,0,29,1,7.25,7,0,2,1,0,
Kuldeep Yadav,,,,4,1,23,2,5.75,10,3,0,0,0,
Mohammed Siraj,,,,4,0,23,2,5.75,14,4,0,0,0,
Wayne Parnell,,,,4,0,28,1,7,10,3,1,0,0,
Vijaykumar Vyshak,,,,4,0,20,3,5,11,2,0,0,0,
Shahbaz Ahmed,,,,1,0,11,0,11,0,1,0,0,0,
Wanindu Hasaranga,,,,3,0,37,1,12.33,4,5,1,0,0,
Harshal Patel,,,,4,0,32,1,8,7,3,0,3,0,
Matthew Short,,,,2,0,10,0,5,7,0,1,0,0,
Arshdeep Singh,,,,3,0,22,1,7.33,7,3,0,1,0,
Kagiso Rabada,,,,4,0,34,2,8.5,11,2,2,2,0,
Sam Curran,,,,4,0,31,3,7.75,9,2,1,2,0,
Harpreet Brar,,,,2,0,10,1,5,6,1,0,0,0,
Sikandar Raza,,,,2,0,19,1,9.5,2,2,0,0,1,
Rahul Chahar,,,,3,0,28,0,9.33,5,1,2,1,0,
Yudhvir Singh,,,,3,0,19,2,6.33,11,4,0,0,0,
Avesh Khan,,,,3,0,24,0,8,8,4,0,1,0,
Mark Wood,,,,4,0,35,2,8.75,10,2,2,2,0,
Krishnappa Gowtham,,,,4,0,31,1,7.75,10,1,2,1,0,
Krunal Pandya,,,,3,0,32,1,10.66,6,3,2,0,0,
Ravi Bishnoi,,,,2.3,0,18,2,7.2,7,2,0,1,0,
Arjun Tendulkar,,,,2,0,17,0,8.5,6,1,1,1,0,
Cameron Green,,,,2,0,20,1,10,6,1,1,2,0,
Duan Jansen,,,,4,0,53,1,13.25,6,3,4,4,0,
Piyush Chawla,,,,4,0,19,1,4.75,10,1,0,0,0,
Hrithik Shokeen,,,,4,0,34,2,8.5,7,3,1,1,0,
Riley Meredith,,,,4,0,40,1,10,9,3,3,0,0,
Umesh Yadav,,,,2,0,19,0,9.5,6,1,2,0,0,
Shardul Thakur,,,,2,0,25,1,12.5,2,3,1,1,0,
Sunil Narine,,,,3,0,41,0,13.66,4,3,3,1,0,
Suyash Sharma,,,,4,0,27,2,6.75,11,3,1,0,0,
Varun Chakravarthy,,,,4,0,38,1,9.5,10,2,3,1,0,
Lockie Ferguson,,,,1.4,0,19,1,11.4,4,1,2,0,0,
Andre Russell,,,,1,0,17,0,17,1,2,1,0,0,
Trent Boult,,,,4,0,46,1,11.5,6,4,2,2,0,
Sandeep Sharma,,,,4,0,25,2,6.25,10,3,0,1,0,
Adam Zampa,,,,4,0,32,1,8,9,2,2,0,0,
Ravichandran Ashwin,,,,4,0,37,0,9.25,5,4,1,0,0,
Yuzvendra Chahal,,,,4,0,36,1,9,3,0,2,1,0,
Mohammed Shami,,,,4,1,25,3,6.25,18,1,3,1,0,
Hardik Pandya,,,,4,0,24,1,6,14,3,1,0,0,
Alzarri Joseph,,,,3,0,47,0,15.66,2,3,4,0,0,
Rashid Khan,,,,4,0,46,2,11.5,7,1,5,0,0,
Mohit Sharma,,,,2,0,7,0,3.5,5,0,0,0,0,
Noor Ahmad,,,,2.2,0,29,1,12.42,3,2,2,1,0,
Mohammed Siraj,,,,4,0,30,1,7.5,10,1,2,1,0,
Wayne Parnell,,,,4,0,48,1,12,7,3,4,0,0,
Vijaykumar Vyshak,,,,4,0,62,1,15.5,3,5,5,0,0,
Glenn Maxwell,,,,2.4,0,28,1,10.5,4,0,3,1,0,
Wanindu Hasaranga,,,,2,0,21,1,10.5,1,1,1,0,0,
Harshal Patel,,,,3.2,0,36,1,10.8,8,2,2,2,2,
Akash Singh,,,,3,0,35,1,11.66,9,3,3,0,0,
Tushar Deshpande,,,,4,0,45,3,11.25,9,5,2,3,0,
Maheesh Theekshana,,,,4,0,41,1,10.25,4,1,3,1,0,
Ravindra Jadeja,,,,4,0,37,0,9.25,3,0,3,0,0,
Matheesha Pathirana,,,,4,0,42,2,10.5,9,3,3,2,0,
Moeen Ali,,,,1,0,13,1,13,3,0,2,0,0,
Bhuvneshwar Kumar,,,,4,0,31,1,7.75,8,1,2,0,0,
Marco Jansen,,,,4,0,43,2,10.75,11,3,4,1,0,
Washington Sundar,,,,4,0,33,0,8.25,10,4,1,0,0,
T Natarajan,,,,4,0,50,1,12.5,3,7,1,0,0,
Mayank Markande,,,,4,0,35,0,8.75,9,4,1,1,0,
Arjun Tendulkar,,,,2.5,0,18,1,6.35,9,2,0,3,0,
Jason Behrendorff,,,,4,0,37,2,9.25,7,5,0,1,0,
Riley Meredith,,,,4,0,33,2,8.25,10,3,1,3,0,
Hrithik Shokeen,,,,1,0,12,0,12,1,0,1,0,0,
Piyush Chawla,,,,4,0,43,2,10.75,5,4,2,0,0,
Cameron Green,,,,4,0,29,1,7.25,9,4,0,1,0,
Trent Boult,,,,4,1,16,1,4,18,1,1,0,0,
Sandeep Sharma,,,,4,0,32,1,8,8,4,0,0,1,
Ravichandran Ashwin,,,,4,0,23,2,5.75,9,2,0,1,0,
Yuzvendra Chahal,,,,4,0,41,0,10.25,5,3,2,0,0,
Jason Holder,,,,4,0,38,1,9.5,7,3,2,0,0,
Naveen-ul-Haq,,,,4,0,19,0,4.75,11,0,1,1,0,
Yudhvir Singh,,,,2,0,27,0,13.5,6,2,2,1,0,
Avesh Khan,,,,4,0,25,3,6.25,12,4,0,0,0,
Marcus Stoinis,,,,4,0,28,2,7,11,3,1,0,0,
Ravi Bishnoi,,,,4,0,25,0,6.25,8,2,0,0,1,
Amit Mishra,,,,2,0,15,0,7.5,3,2,0,0,0,
Arshdeep Singh,,,,4,0,34,1,8.5,8,5,0,1,0,
Harpreet Brar,,,,3,0,31,2,10.33,7,1,3,0,0,
Nathan Ellis,,,,4,0,41,1,10.25,8,2,3,1,0,
Sam Curran,,,,4,0,27,0,6.75,6,1,0,0,1,
Rahul Chahar,,,,4,0,24,0,6,7,2,0,0,0,
Liam Livingstone,,,,1,0,9,0,9,0,1,0,0,0,
Mohammed Siraj,,,,4,0,21,4,5.25,13,3,0,0,0,
Wayne Parnell,,,,3,0,32,1,10.66,9,1,4,0,0,
Wanindu Hasaranga,,,,4,0,39,2,9.75,7,2,3,0,0,
Vijaykumar Vyshak,,,,3,0,29,0,9.66,6,2,2,1,0,
Glenn Maxwell,,,,1,0,5,0,5,1,0,0,0,0,
Harshal Patel,,,,3.2,0,22,1,6.6,10,1,1,1,1,
Ishant Sharma,,,,4,0,19,2,4.75,13,2,0,1,0,
Mukesh Kumar,,,,4,0,34,1,8.5,15,2,3,4,0,
Anrich Nortje,,,,4,0,20,2,5,16,3,0,2,0,
Axar Patel,,,,3,0,13,2,4.33,12,2,0,0,0,
Mitchell Marsh,,,,2,0,25,0,12.5,2,1,2,2,0,
Kuldeep Yadav,,,,3,0,15,2,5,9,0,1,1,0,
Umesh Yadav,,,,1,0,6,0,6,3,1,0,0,0,
Kulwant Khejroliya,,,,1.2,0,20,0,15,2,3,0,0,1,
Andre Russell,,,,1,0,12,0,12,3,2,0,0,1,
Sunil Narine,,,,4,0,36,0,9,7,6,0,1,0,
Varun Chakravarthy,,,,4,1,16,2,4,14,2,0,0,0,
Anukul Roy,,,,4,0,19,2,4.75,13,2,0,2,0,
Nitish Rana,,,,4,0,17,2,4.25,10,1,0,0,0,
Akash Singh,,,,3,0,17,1,5.66,10,1,1,0,0,
Tushar Deshpande,,,,3,0,26,0,8.66,7,4,0,1,0,
Maheesh Theekshana,,,,4,0,27,1,6.75,5,2,0,0,0,
Moeen Ali,,,,2,0,18,0,9,2,1,1,0,0,
Ravindra Jadeja,,,,4,0,22,3,5.5,8,1,0,0,0,
Matheesha Pathirana,,,,4,0,22,1,5.5,9,2,0,1,0,
Bhuvneshwar Kumar,,,,2,0,10,0,5,7,1,0,0,0,
Marco Jansen,,,,3,0,37,0,12.33,5,6,1,0,0,
Aiden Markram,,,,1,0,11,0,11,2,2,0,0,0,
Washington Sundar,,,,2.4,0,16,0,6,4,1,0,0,0,
Mayank Markande,,,,4,0,23,2,5.75,8,2,0,0,0,
Umran Malik,,,,3,0,18,0,6,8,2,0,0,0,
Mayank Dagar,,,,3,0,21,0,7,5,2,0,0,0,
Naveen-ul-Haq,,,,4,0,19,1,4.75,12,1,0,0,0,
Krunal Pandya,,,,4,0,16,2,4,13,1,0,0,0,
Avesh Khan,,,,3,0,21,0,7,6,2,0,0,0,
Ravi Bishnoi,,,,4,0,49,0,12.25,4,4,3,0,0,
Marcus Stoinis,,,,3,0,20,2,6.66,7,1,1,0,0,
Amit Mishra,,,,2,0,9,1,4.5,4,0,0,0,0,
Mohammed Shami,,,,3,1,18,0,6,9,3,0,0,0,
Jayant Yadav,,,,4,0,26,0,6.5,8,2,0,0,0,
Rashid Khan,,,,4,0,33,1,8.25,9,4,1,0,0,
Mohit Sharma,,,,3,0,17,2,5.66,5,1,0,0,0,
Noor Ahmad,,,,4,0,18,2,4.5,13,1,0,0,0,
Hardik Pandya,,,,1,0,7,0,7,2,1,0,0,0,
Rahul Tewatia,,,,1,0,8,0,8,4,0,1,1,0,
Arjun Tendulkar,,,,3,0,48,1,16,4,6,2,4,1,
Jason Behrendorff,,,,3,0,41,1,13.66,6,2,4,1,0,
Cameron Green,,,,4,0,41,2,10.25,9,2,4,0,0,
Jofra Archer,,,,4,0,42,1,10.5,8,3,3,1,0,
Piyush Chawla,,,,3,0,15,2,5,12,2,0,1,0,
Hrithik Shokeen,,,,3,0,24,0,8,7,1,1,0,1,
Matthew Short,,,,1,0,7,0,7,3,1,0,1,0,
Arshdeep Singh,,,,4,0,29,4,7.25,12,2,2,1,0,
Harpreet Brar,,,,2,0,15,0,7.5,5,1,1,0,0,
Sam Curran,,,,3,0,41,0,13.66,2,3,3,1,0,
Nathan Ellis,,,,4,0,44,1,11,5,2,3,0,0,
Rahul Chahar,,,,4,0,42,0,10.5,4,4,2,0,0,
Liam Livingstone,,,,2,0,23,1,11.5,2,4,0,0,0,
Trent Boult,,,,4,0,41,2,10.25,8,6,0,1,0,
Sandeep Sharma,,,,4,0,49,2,12.25,9,7,2,1,0,
Ravichandran Ashwin,,,,4,0,36,1,9,7,2,2,1,0,
Yuzvendra Chahal,,,,4,0,28,1,7,7,0,1,2,0,
Jason Holder,,,,4,0,32,0,8,6,3,1,0,0,
Mohammed Siraj,,,,4,0,39,1,9.75,8,4,1,3,0,
David Willey,,,,4,0,26,1,6.5,11,2,1,1,0,
Vijaykumar Vyshak,,,,2,0,24,0,12,4,5,0,1,0,
Glenn Maxwell,,,,2,0,25,0,12.5,3,2,2,0,0,
Harshal Patel,,,,4,0,32,3,8,8,3,1,1,0,
Wanindu Hasaranga,,,,4,0,32,0,8,5,2,1,0,0,
Umesh Yadav,,,,3,0,35,0,11.66,7,3,3,0,0,
David Wiese,,,,3,0,38,0,12.66,3,3,2,0,0,
Varun Chakravarthy,,,,4,0,49,1,12.25,8,2,5,0,0,
Kulwant Khejroliya,,,,3,0,44,2,14.66,5,2,4,0,1,
Sunil Narine,,,,2,0,23,0,11.5,3,1,2,0,0,
Suyash Sharma,,,,4,0,29,1,7.25,8,2,1,0,0,
Andre Russell,,,,1,0,17,0,17,0,1,1,2,0,
Akash Singh,,,,4,0,29,1,7.25,13,4,1,1,0,
Tushar Deshpande,,,,4,0,43,2,10.75,12,3,3,4,0,
Maheesh Theekshana,,,,4,0,32,2,8,8,3,1,1,0,
Moeen Ali,,,,1,0,20,1,20,1,0,3,0,0,
Ravindra Jadeja,,,,3,0,34,1,11.33,5,2,3,0,0,
Matheesha Pathirana,,,,4,0,27,1,6.75,11,2,1,3,0,
Bhuvneshwar Kumar,,,,4,0,11,2,2.75,16,1,0,0,0,
Marco Jansen,,,,2,0,27,0,13.5,4,4,1,0,0,
Washington Sundar,,,,4,0,28,3,7,10,2,1,0,0,
T Natarajan,,,,3,0,21,1,7,3,2,0,0,0,
Mayank Markande,,,,4,0,34,0,8.5,7,4,0,1,0,
Umran Malik,,,,2,0,14,0,7,4,2,0,0,0,
Aiden Markram,,,,1,0,7,0,7,0,0,0,0,0,
Ishant Sharma,,,,3,0,18,1,6,8,2,0,0,0,
Anrich Nortje,,,,4,0,33,2,8.25,10,4,1,0,0,
Mukesh Kumar,,,,3,0,27,0,9,4,4,0,0,0,
Axar Patel,,,,4,0,21,2,5.25,8,1,0,0,0,
Kuldeep Yadav,,,,4,0,22,1,5.5,6,1,0,0,0,
Mitchell Marsh,,,,2,0,16,0,8,3,1,0,0,1,
Arjun Tendulkar,,,,2,0,9,1,4.5,7,0,0,0,0,
Jason Behrendorff,,,,4,0,37,1,9.25,8,2,2,2,0,
Riley Meredith,,,,4,0,49,1,12.25,6,4,3,2,0,
Cameron Green,,,,2,0,39,0,19.5,0,2,4,0,0,
Piyush Chawla,,,,4,0,34,2,8.5,7,3,1,1,0,
Kumar Kartikeya,,,,4,0,39,1,9.75,7,3,2,0,0,
Mohammed Shami,,,,4,0,18,0,4.5,14,2,0,1,0,
Hardik Pandya,,,,2,0,10,1,5,8,0,1,0,0,
Rashid Khan,,,,4,0,27,2,6.75,10,2,1,0,0,
Noor Ahmad,,,,4,0,37,3,9.25,10,2,3,0,0,
Mohit Sharma,,,,4,0,38,2,9.5,7,1,3,0,0,
Josh Little,,,,2,0,18,0,9,2,1,1,0,0,
Mohammed Siraj,,,,4,0,33,1,8.25,11,5,1,0,0,
David Willey,,,,3,0,31,0,10.33,5,4,1,1,0,
Wanindu Hasaranga,,,,4,0,24,2,6,10,3,0,0,0,
Shahbaz Ahmed,,,,1,0,25,0,25,1,0,4,0,0,
Vijaykumar Vyshak,,,,4,0,41,2,10.25,3,2,2,3,0,
Harshal Patel,,,,4,0,44,0,11,7,2,4,1,0,
Vaibhav Arora,,,,2,0,22,0,11,3,3,0,1,0,
Umesh Yadav,,,,1,0,19,0,19,0,1,2,0,0,
Suyash Sharma,,,,4,0,30,2,7.5,5,3,0,1,0,
Varun Chakravarthy,,,,4,0,27,3,6.75,9,2,1,0,0,
Andre Russell,,,,4,0,29,2,7.25,11,1,2,0,0,
Sunil Narine,,,,4,0,41,0,10.25,2,1,2,0,0,
Nitish Rana,,,,1,0,8,0,8,1,1,0,0,0,
Akash Singh,,,,2,0,32,0,16,3,6,1,0,0,
Tushar Deshpande,,,,4,0,42,2,10.5,10,5,2,0,0,
Maheesh Theekshana,,,,4,0,24,1,6,11,3,0,1,0,
Ravindra Jadeja,,,,4,0,32,1,8,6,2,1,1,0,
Moeen Ali,,,,2,0,17,0,8.5,2,0,1,0,0,
Matheesha Pathirana,,,,4,0,48,0,12,5,5,1,2,0,
Sandeep Sharma,,,,4,0,24,0,6,10,3,0,0,0,
Kuldip Yadav,,,,3,0,18,1,6,4,1,0,0,0,
Jason Holder,,,,4,0,49,0,12.25,4,4,3,1,0,
Ravichandran Ashwin,,,,4,0,35,2,8.75,7,1,2,0,0,
Adam Zampa,,,,3,0,22,3,7.33,7,2,1,0,0,
Yuzvendra Chahal,,,,2,0,21,0,10.5,3,2,1,0,0,
Gurnoor Brar,,,,3,0,42,0,14,7,4,3,1,2,
Arshdeep Singh,,,,4,0,54,1,13.5,4,10,0,2,0,
Kagiso Rabada,,,,4,0,52,2,13,12,3,5,2,2,
Sikandar Raza,,,,1,0,17,0,17,2,1,2,0,0,
Rahul Chahar,,,,4,0,29,0,7.25,8,2,1,0,0,
Sam Curran,,,,3,0,38,1,12.66,5,4,2,0,0,
Liam Livingstone,,,,1,0,19,1,19,1,3,1,0,0,
Marcus Stoinis,,,,1.5,0,21,1,11.45,5,2,1,4,0,
Kyle Mayers,,,,1,0,4,0,4,5,1,0,0,0,
Ayush Badoni,,,,0.1,0,0,0,0,1,0,0,0,0,
Naveen-ul-Haq,,,,4,0,30,3,7.5,11,2,0,1,1,
Avesh Khan,,,,2,0,28,0,14,1,3,1,0,0,
Amit Mishra,,,,2,0,23,0,11.5,1,2,1,0,0,
Ravi Bishnoi,,,,4,0,41,2,10.25,9,4,2,0,1,
Yash Thakur,,,,3.5,0,37,4,9.65,9,3,2,1,0,
Krunal Pandya,,,,1,0,13,0,13,2,1,1,1,0,
Mohammed Shami,,,,4,0,33,3,8.25,12,3,2,0,0,
Hardik Pandya,,,,3,0,34,0,11.33,9,3,3,1,0,
Rashid Khan,,,,4,0,54,0,13.5,3,3,4,1,0,
Josh Little,,,,4,0,25,2,6.25,12,2,1,0,0,
Noor Ahmad,,,,4,0,21,2,5.25,12,1,1,1,0,
Mohit Sharma,,,,1,0,12,0,12,1,0,1,0,0,
Harshit Rana,,,,3,0,25,1,8.33,6,4,0,1,0,
Andre Russell,,,,3,0,29,1,9.66,6,3,1,1,0,
Varun Chakravarthy,,,,4,0,42,0,10.5,7,3,3,0,0,
Suyash Sharma,,,,4,0,37,0,9.25,7,3,2,0,0,
Sunil Narine,,,,3,0,24,1,8,3,1,1,0,0,
Nitish Rana,,,,0.5,0,14,0,16.8,0,1,1,1,0,
Ishant Sharma,,,,3,0,31,1,10.33,9,7,0,0,0,
Anrich Nortje,,,,4,0,44,0,11,4,4,1,2,0,
Mukesh Kumar,,,,2,0,38,0,19,2,4,2,2,1,
Mitchell Marsh,,,,4,1,27,4,6.75,12,1,2,2,0,
Kuldeep Yadav,,,,3,0,27,0,9,4,1,2,0,0,
Axar Patel,,,,4,0,29,1,7.25,7,0,2,2,0,
Bhuvneshwar Kumar,,,,4,0,45,1,11.25,5,3,2,3,0,
Akeal Hosein,,,,4,0,40,1,10,6,4,2,0,0,
T Natarajan,,,,4,0,34,1,8.5,4,2,1,0,0,
Umran Malik,,,,1,0,22,0,22,0,2,2,0,0,
Mayank Markande,,,,4,0,20,2,5,7,1,0,0,0,
Abhishek Sharma,,,,3,0,26,1,8.66,5,2,1,0,0,
Arshdeep Singh,,,,4,0,37,1,9.25,8,5,0,3,0,
Kagiso Rabada,,,,4,0,34,0,8.5,8,4,1,1,0,
Sam Curran,,,,4,0,46,1,11.5,7,5,2,3,0,
Rahul Chahar,,,,4,0,35,1,8.75,7,2,2,0,0,
Sikandar Raza,,,,3,0,31,1,10.33,6,4,1,0,0,
Liam Livingstone,,,,1,0,16,0,16,0,3,0,0,0,
Akash Singh,,,,3,0,35,0,11.66,4,3,2,1,0,
Tushar Deshpande,,,,4,0,49,3,12.25,10,3,4,2,0,
Maheesh Theekshana,,,,4,0,36,0,9,5,4,0,1,0,
Ravindra Jadeja,,,,4,0,32,2,8,8,1,2,0,0,
Moeen Ali,,,,1,0,10,0,10,2,0,1,0,0,
Matheesha Pathirana,,,,4,0,32,1,8,6,2,0,1,0,
Cameron Green,,,,3,0,31,0,10.33,10,2,2,4,0,
Jofra Archer,,,,4,0,35,1,8.75,16,2,3,3,1,
Riley Meredith,,,,4,0,51,1,12.75,7,9,1,2,0,
Piyush Chawla,,,,4,0,34,2,8.5,11,2,3,0,0,
Kumar Kartikeya,,,,2,0,14,0,7,6,1,1,0,0,
Arshad Khan,,,,3,0,39,3,13,5,4,2,3,0,
Trent Boult,,,,4,0,43,1,10.75,8,7,0,2,0,
Sandeep Sharma,,,,4,0,35,1,8.75,5,3,1,2,0,
Ravichandran Ashwin,,,,4,0,27,2,6.75,8,0,2,1,0,
Yuzvendra Chahal,,,,3,0,32,0,10.66,5,3,2,0,0,
Jason Holder,,,,3.3,0,55,0,15.71,4,5,4,2,0,
Kuldeep Sen,,,,1,0,20,0,20,2,3,1,0,1,
Krunal Pandya,,,,4,0,21,0,5.25,8,1,0,0,0,
Marcus Stoinis,,,,1,0,11,0,11,0,1,0,0,0,
Naveen-ul-Haq,,,,4,0,30,3,7.5,8,3,1,0,0,
Ravi Bishnoi,,,,4,0,21,2,5.25,7,0,0,0,0,
Amit Mishra,,,,3,0,21,2,7,4,0,1,0,0,
Yash Thakur,,,,2,0,12,0,6,6,1,0,2,0,
Krishnappa Gowtham,,,,2,0,10,1,5,5,0,0,0,0,
Mohammed Siraj,,,,3,0,24,1,8,11,4,0,3,1,
Josh Hazlewood,,,,3,0,15,2,5,13,1,1,0,1,
Glenn Maxwell,,,,1,0,3,1,3,3,0,0,0,0,
Wanindu Hasaranga,,,,4,0,20,1,5,14,0,2,0,0,
Karn Sharma,,,,4,0,20,2,5,12,1,1,0,0,
Harshal Patel,,,,3.5,0,20,1,5.21,9,2,0,0,0,
Mahipal Lomror,,,,1,0,4,0,4,2,0,0,0,0,
Mohammed Shami,,,,4,0,11,4,2.75,19,1,0,0,0,
Hardik Pandya,,,,1,0,10,0,10,3,2,0,0,1,
Josh Little,,,,3,0,27,0,9,6,4,0,0,0,
Rashid Khan,,,,4,0,28,1,7,12,0,3,1,0,
Noor Ahmad,,,,4,0,20,0,5,11,1,0,2,0,
Mohit Sharma,,,,4,0,33,2,8.25,7,1,2,0,0,
Khaleel Ahmed,,,,4,1,24,2,6,12,4,0,0,0,
Ishant Sharma,,,,4,0,23,2,5.75,12,2,0,1,0,
Anrich Nortje,,,,4,0,39,1,9.75,11,2,3,2,0,
Kuldeep Yadav,,,,4,0,15,1,3.75,9,0,0,0,0,
Axar Patel,,,,4,0,24,0,6,10,1,1,1,0,
Deepak Chahar,,,,4,0,41,0,10.25,9,4,2,0,0,
Tushar Deshpande,,,,1,0,1,0,1,5,0,0,0,0,
Moeen Ali,,,,4,0,13,2,3.25,11,0,0,0,0,
Maheesh Theekshana,,,,4,0,37,2,9.25,7,2,2,0,0,
Ravindra Jadeja,,,,3,0,11,1,3.66,8,0,0,0,0,
Matheesha Pathirana,,,,3.2,0,22,2,6.6,6,0,0,2,0,
