BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Yash Dayal,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,69,0,17.25,4,3,8,0,0,
Rashid Khan,Gujarat Titans,Kolkata Knight Riders vs Gujarat Titans,13,4,0,37,3,9.25,6,4,1,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,33,1,8.25,13,6,0,3,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,1,16,2,5.33,14,2,1,1,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,40,0,10,10,3,3,0,0,
Washington Sundar,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,1,0,6,0,6,3,1,0,0,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,15,4,3.75,15,2,0,0,0,
Umran Malik,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs  Punjab Kings ,14,4,0,32,2,8,14,3,2,1,0,
Sam Curran,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,14,0,4.66,8,1,0,0,0,
Arshdeep Singh,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,20,1,6.66,10,4,0,0,0,
Harpreet Brar,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3.1,0,26,0,8.21,8,5,0,0,0,
Nathan Ellis,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,28,0,9.33,5,5,0,0,0,
Rahul Chahar,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,3,0,28,1,9.33,8,4,1,0,0,
Mohit Rathee,Punjab Kings ,Sunrisers Hyderabad  vs  Punjab Kings ,14,2,0,29,0,14.5,3,3,2,0,0,
Jaydev Unadkat,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,2,0,27,0,13.5,3,2,2,1,0,
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,53,0,13.25,8,5,4,0,0,
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,35,0,8.75,5,2,2,0,0,
Mark Wood,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,1,32,1,8,12,1,3,2,0,
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,39,0,9.75,5,1,3,1,0,
Amit Mishra,Lucknow Super Giants ,Lucknow Super Giants vs Royal Challengers Bangalore,15,2,0,18,1,9,2,1,1,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,22,3,5.5,16,3,0,4,0,
David Willey,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,32,0,8,6,2,1,1,0,
Wayne Parnell,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,41,3,10.25,6,5,1,3,0,
Harshal Patel,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,4,0,48,2,12,5,4,3,0,0,
Karn Sharma,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,3,0,48,1,16,5,3,5,1,0,
Shahbaz Ahmed,Royal Challengers Bangalore,Lucknow Super Giants vs Royal Challengers Bangalore,15,1,0,15,0,15,1,0,2,0,0,
Jason Behrendorff,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3,0,23,3,7.66,8,1,2,0,0,
Arshad Khan,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,1,0,12,0,12,1,2,0,1,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3,0,30,0,10,4,5,0,1,0,
Hrithik Shokeen,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,4,0,43,1,10.75,10,4,2,1,1,
Riley Meredith,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,3.4,0,34,2,9.27,10,5,1,0,1,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,4,0,22,3,5.5,9,2,0,0,0,
Tilak Varma,Mumbai Indians ,Mumbai Indians vs Delhi Capitals ,16,1,0,7,0,7,3,1,0,1,0,
Mukesh Kumar,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,2,0,30,2,15,6,3,3,0,0,
Mustafizur Rahman,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,4,0,38,1,9.5,11,5,2,0,0,
Anrich Nortje,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,4,0,35,0,8.75,8,2,2,0,0,
Lalit Yadav,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,4,0,23,0,5.75,10,1,1,1,0,
Axar Patel,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,4,0,20,0,5,12,2,0,1,0,
Kuldeep Yadav,Delhi Capitals ,Mumbai Indians vs Delhi Capitals ,16,2,0,23,0,11.5,2,1,2,0,0,
Akash Singh,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,4,0,40,2,10,7,2,3,1,0,
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,4,0,37,2,9.25,7,4,1,1,0,
Maheesh Theekshana,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,4,0,42,0,10.5,4,5,1,0,0,
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,4,0,21,2,5.25,11,0,0,3,0,
Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,2,0,21,1,10.5,3,0,2,0,0,
Sisanda Magala,Chennai Super Kings ,Chennai Super Kings vs  Rajasthan Royals,17,2,0,14,0,7,2,0,0,1,0,
Sandeep Sharma,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,3,0,30,1,10,6,1,2,2,0,
Kuldeep Sen,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,2,0,8,0,4,4,0,0,0,0,
Jason Holder,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,3,0,37,0,12.33,4,4,2,1,0,
Adam Zampa,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,4,0,43,1,10.75,5,4,1,1,0,
Ravichandran Ashwin,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,4,0,25,2,6.25,10,1,1,2,0,
Yuzvendra Chahal,Rajasthan Royals,Chennai Super Kings vs  Rajasthan Royals,17,4,0,27,2,6.75,8,2,0,1,0,
Mohammed Shami,Gujarat Titans,Gujarat Titans vs Punjab Kings ,18,4,0,44,1,11,9,7,1,1,0,
Josh Little,Gujarat Titans,Gujarat Titans vs Punjab Kings ,18,4,0,31,1,7.75,11,3,1,3,0,
Alzarri Joseph,Gujarat Titans,Gujarat Titans vs Punjab Kings ,18,4,0,32,1,8,11,1,2,5,0,
Rashid Khan,Gujarat Titans,Gujarat Titans vs Punjab Kings ,18,4,0,26,1,6.5,13,3,1,0,0,
Mohit Sharma,Gujarat Titans,Gujarat Titans vs Punjab Kings ,18,4,0,18,2,4.5,12,2,0,0,0,
Arshdeep Singh,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,4,0,33,1,8.25,8,5,0,0,0,
Kagiso Rabada,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,4,0,36,1,9,11,5,1,0,0,
Harpreet Brar,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,4,0,20,1,5,8,1,0,0,0,
Sam Curran,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,3.5,0,25,1,6.52,7,2,0,0,0,
Rahul Chahar,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,3,0,24,0,8,4,3,0,0,0,
Matthew Short,Punjab Kings ,Gujarat Titans vs Punjab Kings ,18,1,0,8,0,8,1,1,0,0,0,
Umesh Yadav,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,3,0,42,0,14,3,3,3,1,0,
Lockie Ferguson,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,2,0,37,0,18.5,4,5,1,1,1,
Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,28,0,7,7,1,1,2,0,
Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,2.1,0,22,3,10.15,4,2,1,2,0,
Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,41,1,10.25,4,3,2,1,0,
Suyash Sharma,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,44,0,11,8,4,3,0,0,
Shardul Thakur,Kolkata Knight Riders,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,0.5,0,14,0,16.8,0,3,0,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,1,29,1,7.25,10,4,0,1,0,
Marco Jansen,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,37,2,9.25,12,1,3,4,2,
T Natarajan,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,54,1,13.5,6,6,3,1,0,
Umran Malik,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,2,0,36,1,18,3,4,3,0,0,
Mayank Markande,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,4,0,27,2,6.75,10,2,1,0,0,
Washington Sundar,Sunrisers Hyderabad ,Kolkata Knight Riders vs Sunrisers Hyderabad ,19,2,0,20,0,10,2,1,1,0,0,
Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,31,0,7.75,9,3,0,2,1,
Axar Patel,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,3,0,25,1,8.33,9,0,3,0,0,
Mustafizur Rahman,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,3,0,41,0,13.66,2,5,2,0,0,
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,2,0,18,2,9,5,2,1,0,0,
Lalit Yadav,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,29,1,7.25,7,0,2,1,0,
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Royal Challengers Bangalore,20,4,1,23,2,5.75,10,3,0,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,23,2,5.75,14,4,0,0,0,
Wayne Parnell,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,28,1,7,10,3,1,0,0,
Vijaykumar Vyshak,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,20,3,5,11,2,0,0,0,
Shahbaz Ahmed,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,1,0,11,0,11,0,1,0,0,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,3,0,37,1,12.33,4,5,1,0,0,
Harshal Patel,Royal Challengers Bangalore,Delhi Capitals vs Royal Challengers Bangalore,20,4,0,32,1,8,7,3,0,3,0,
Matthew Short,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,2,0,10,0,5,7,0,1,0,0,
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,3,0,22,1,7.33,7,3,0,1,0,
Kagiso Rabada,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,4,0,34,2,8.5,11,2,2,2,0,
Sam Curran,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,4,0,31,3,7.75,9,2,1,2,0,
Harpreet Brar,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,2,0,10,1,5,6,1,0,0,0,
Sikandar Raza,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,2,0,19,1,9.5,2,2,0,0,1,
Rahul Chahar,Punjab Kings ,Punjab Kings vs Lucknow Super Giants  ,21,3,0,28,0,9.33,5,1,2,1,0,
Yudhvir Singh,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,3,0,19,2,6.33,11,4,0,0,0,
Avesh Khan,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,3,0,24,0,8,8,4,0,1,0,
Mark Wood,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,4,0,35,2,8.75,10,2,2,2,0,
Krishnappa Gowtham,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,4,0,31,1,7.75,10,1,2,1,0,
Krunal Pandya,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,3,0,32,1,10.66,6,3,2,0,0,
Ravi Bishnoi,Lucknow Super Giants ,Punjab Kings vs Lucknow Super Giants  ,21,2.3,0,18,2,7.2,7,2,0,1,0,
Arjun Tendulkar,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,2,0,17,0,8.5,6,1,1,1,0,
Cameron Green,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,2,0,20,1,10,6,1,1,2,0,
Duan Jansen,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,4,0,53,1,13.25,6,3,4,4,0,
Piyush Chawla,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,4,0,19,1,4.75,10,1,0,0,0,
Hrithik Shokeen,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,4,0,34,2,8.5,7,3,1,1,0,
Riley Meredith,Mumbai Indians ,Mumbai Indians vs Kolkata Knight Riders,22,4,0,40,1,10,9,3,3,0,0,
Umesh Yadav,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,2,0,19,0,9.5,6,1,2,0,0,
Shardul Thakur,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,2,0,25,1,12.5,2,3,1,1,0,
Sunil Narine,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,3,0,41,0,13.66,4,3,3,1,0,
Suyash Sharma,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,4,0,27,2,6.75,11,3,1,0,0,
Varun Chakravarthy,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,4,0,38,1,9.5,10,2,3,1,0,
Lockie Ferguson,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,1.4,0,19,1,11.4,4,1,2,0,0,
Andre Russell,Kolkata Knight Riders,Mumbai Indians vs Kolkata Knight Riders,22,1,0,17,0,17,1,2,1,0,0,
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Gujarat Titans,23,4,0,46,1,11.5,6,4,2,2,0,
Sandeep Sharma,Rajasthan Royals,Rajasthan Royals vs Gujarat Titans,23,4,0,25,2,6.25,10,3,0,1,0,
Adam Zampa,Rajasthan Royals,Rajasthan Royals vs Gujarat Titans,23,4,0,32,1,8,9,2,2,0,0,
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Gujarat Titans,23,4,0,37,0,9.25,5,4,1,0,0,
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Gujarat Titans,23,4,0,36,1,9,3,0,2,1,0,
Mohammed Shami,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,4,1,25,3,6.25,18,1,3,1,0,
Hardik Pandya,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,4,0,24,1,6,14,3,1,0,0,
Alzarri Joseph,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,3,0,47,0,15.66,2,3,4,0,0,
Rashid Khan,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,4,0,46,2,11.5,7,1,5,0,0,
Mohit Sharma,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,2,0,7,0,3.5,5,0,0,0,0,
Noor Ahmad,Gujarat Titans,Rajasthan Royals vs Gujarat Titans,23,2.2,0,29,1,12.42,3,2,2,1,0,
Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,30,1,7.5,10,1,2,1,0,
Wayne Parnell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,48,1,12,7,3,4,0,0,
Vijaykumar Vyshak,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,62,1,15.5,3,5,5,0,0,
Glenn Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,2.4,0,28,1,10.5,4,0,3,1,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,2,0,21,1,10.5,1,1,1,0,0,
Harshal Patel,Royal Challengers Bangalore,Royal Challengers Bangalore vs Chennai Super Kings ,24,3.2,0,36,1,10.8,8,2,2,2,2,
Akash Singh,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,3,0,35,1,11.66,9,3,3,0,0,
Tushar Deshpande,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,45,3,11.25,9,5,2,3,0,
Maheesh Theekshana,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,41,1,10.25,4,1,3,1,0,
Ravindra Jadeja,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,37,0,9.25,3,0,3,0,0,
Matheesha Pathirana,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,4,0,42,2,10.5,9,3,3,2,0,
Moeen Ali,Chennai Super Kings ,Royal Challengers Bangalore vs Chennai Super Kings ,24,1,0,13,1,13,3,0,2,0,0,
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,31,1,7.75,8,1,2,0,0,
Marco Jansen,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,43,2,10.75,11,3,4,1,0,
Washington Sundar,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,33,0,8.25,10,4,1,0,0,
T Natarajan,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,50,1,12.5,3,7,1,0,0,
Mayank Markande,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,35,0,8.75,9,4,1,1,0,
Arjun Tendulkar,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,2.5,0,18,1,6.35,9,2,0,3,0,
Jason Behrendorff,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,37,2,9.25,7,5,0,1,0,
Riley Meredith,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,33,2,8.25,10,3,1,3,0,
Hrithik Shokeen,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,1,0,12,0,12,1,0,1,0,0,
Piyush Chawla,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,43,2,10.75,5,4,2,0,0,
Cameron Green,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,25,4,0,29,1,7.25,9,4,0,1,0,
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Lucknow Super Giants ,26,4,1,16,1,4,18,1,1,0,0,
Sandeep Sharma,Rajasthan Royals,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,32,1,8,8,4,0,0,1,
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,23,2,5.75,9,2,0,1,0,
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,41,0,10.25,5,3,2,0,0,
Jason Holder,Rajasthan Royals,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,38,1,9.5,7,3,2,0,0,
Naveen-ul-Haq,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,19,0,4.75,11,0,1,1,0,
Yudhvir Singh,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,2,0,27,0,13.5,6,2,2,1,0,
Avesh Khan,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,25,3,6.25,12,4,0,0,0,
Marcus Stoinis,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,28,2,7,11,3,1,0,0,
Ravi Bishnoi,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,4,0,25,0,6.25,8,2,0,0,1,
Amit Mishra,Lucknow Super Giants ,Rajasthan Royals vs Lucknow Super Giants ,26,2,0,15,0,7.5,3,2,0,0,0,
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,4,0,34,1,8.5,8,5,0,1,0,
Harpreet Brar,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,3,0,31,2,10.33,7,1,3,0,0,
Nathan Ellis,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,4,0,41,1,10.25,8,2,3,1,0,
Sam Curran,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,4,0,27,0,6.75,6,1,0,0,1,
Rahul Chahar,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,4,0,24,0,6,7,2,0,0,0,
Liam Livingstone,Punjab Kings ,Punjab Kings vs Royal Challengers Bangalore,27,1,0,9,0,9,0,1,0,0,0,
Mohammed Siraj,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,4,0,21,4,5.25,13,3,0,0,0,
Wayne Parnell,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,3,0,32,1,10.66,9,1,4,0,0,
Wanindu Hasaranga,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,4,0,39,2,9.75,7,2,3,0,0,
Vijaykumar Vyshak,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,3,0,29,0,9.66,6,2,2,1,0,
Glenn Maxwell,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,1,0,5,0,5,1,0,0,0,0,
Harshal Patel,Royal Challengers Bangalore,Punjab Kings vs Royal Challengers Bangalore,27,3.2,0,22,1,6.6,10,1,1,1,1,
Ishant Sharma,Delhi Capitals ,Delhi Capitals vs Kolkata Knight Riders,28,4,0,19,2,4.75,13,2,0,1,0,
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Kolkata Knight Riders,28,4,0,34,1,8.5,15,2,3,4,0,
